Council Area,Organisation ,Session Name,Activity Status,Support Type,Delivery Type,Age Group,Day,Start,End,Address,Postcode,Lead Contact,Phone,Email,Website,Self Referral,Cost Type,Cost Amount,Eligibility,Description on Recovery Map,Additional Notes,Category,Start Time,End Time,Time Range,Full Address,lat,lng
Dundee City,Just Bee Productions,Family Cinema Group,Scheduled Activity,Activity Based,Group,All Ages,Tuesday,15:45:00,17:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,07743 816540,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,"Free to attend, new film shown every week. Cosy blankets, hot drinks and snacks provided!",Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,15:45,17:00,15:45-17:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Women'S Group,Scheduled Activity,Peer Support,Group,Women,Wednesday,10:00:00,12:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Not listed,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Women,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Peer Support,10:00,12:00,10:00-12:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Community Lunch,Scheduled Activity,Health And Wellbeing,Drop-In,All Ages,Wednesday,11:00:00,13:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,07341 255354,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,"Creativity, eating together and growing in recovery.",Bringing people together – A friendly space where the community can connect and feel welcome.,Health and Wellbeing,11:00,13:00,11:00-13:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Sewing Group,Scheduled Activity,Activity Based,Group,All Ages,Wednesday,13:00:00,Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Unknown,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,13:00,,13:00-Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Life After Loss Group,Scheduled Activity,Peer Support,Group,All Ages,Wednesday,15:30:00,17:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Unknown,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Peer Support,15:30,17:00,15:30-17:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Additional Support Needs Group (Stay & Play),Scheduled Activity,Activity Based,Group,Children,Wednesday,15:30:00,17:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Unknown,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,15:30,17:00,15:30-17:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Mother & Baby Group,Scheduled Activity,Peer Support,Group,Women,Thursday,10:30:00,Unknown,"Kigsgait Kirk, 2 King Street, Dundee",DD1 2JB,Unknown,Unknown,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Mothers & babies,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Peer Support,10:30,,10:30-Unknown,"Kigsgait Kirk, 2 King Street, Dundee, DD1 2JB, Scotland",56.465468,-2.965246
Dundee City,Just Bee Productions,Walking Group,Scheduled Activity,Activity Based,Group,All Ages,Thursday,10:30:00,Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Unknown,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,10:30,,10:30-Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Jewellery Group,Scheduled Activity,Activity Based,Group,All Ages,Thursday,13:00:00,15:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Unknown,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,13:00,15:00,13:00-15:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Singing Group,Scheduled Activity,Activity Based,Group,All Ages,Thursday,15:30:00,17:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,07443 816540,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,"A place to let it go and sing your heart out, with a little help from your friends. This is you!",Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,15:30,17:00,15:30-17:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Women'S Group,Scheduled Activity,Peer Support,Group,Women,Friday,10:00:00,12:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Not listed,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Women,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Peer Support,10:00,12:00,10:00-12:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Community Lunch,Scheduled Activity,Health And Wellbeing,Drop-In,All Ages,Friday,11:00:00,13:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,07341 255354,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,"Creativity, eating together and growing in recovery.",Bringing people together – A friendly space where the community can connect and feel welcome.,Health and Wellbeing,11:00,13:00,11:00-13:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Art Group,Scheduled Activity,Activity Based,Group,All Ages,Friday,13:15:00,15:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Unknown,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,13:15,15:00,13:15-15:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Community Lunch,Scheduled Activity,Health And Wellbeing,Drop-In,All Ages,Saturday,11:00:00,13:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,07341 255354,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,"Creativity, eating together and growing in recovery.",Bringing people together – A friendly space where the community can connect and feel welcome.,Health and Wellbeing,11:00,13:00,11:00-13:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Art Angel,Creative Writing Group,Scheduled Activity,Mental Health,Group,Adults,Thursday,10:30:00,12:30:00,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee",DD1 1PW,Unknown,01382 228 383,contact@artangeldundee.org.uk,https://artangeldundee.org.uk/,Yes,Unknown,,Age 16+ with mental health issues,"A wide range of innovative arts activites for people with mental health issues, 16 and over, as a means of recovery and wellbeing","Need to contact Art Angel ahead of time, as they don't allow drop-ins.  They'll let you know if there are spaces available, or add you to waiting list/signpost to other services.",Mental Health,10:30,12:30,10:30-12:30,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee, DD1 1PW, Scotland",56.460881,-2.975658
Dundee City,Art Angel,Creative Writing Group,Scheduled Activity,Mental Health,Group,Adults,Friday,13:00:00,15:00:00,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee",DD1 1PW,Unknown,01382 228 383,contact@artangeldundee.org.uk,https://artangeldundee.org.uk/,Yes,Unknown,,Age 16+ with mental health issues,"A wide range of innovative arts activites for people with mental health issues, 16 and over, as a means of recovery and wellbeing","Need to contact Art Angel ahead of time, as they don't allow drop-ins.  They'll let you know if there are spaces available, or add you to waiting list/signpost to other services.",Mental Health,13:00,15:00,13:00-15:00,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee, DD1 1PW, Scotland",56.460881,-2.975658
Dundee City,Art Angel,Expressive Arts Group,Scheduled Activity,Mental Health,Group,Adults,Unknown,Unknown,Unknown,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee",DD1 1PW,Unknown,01382 228 383,contact@artangeldundee.org.uk,https://artangeldundee.org.uk/,Yes,Unknown,,Age 16+ with mental health issues,"A wide range of innovative arts activites for people with mental health issues, 16 and over, as a means of recovery and wellbeing","Need to contact Art Angel ahead of time, as they don't allow drop-ins.  They'll let you know if there are spaces available, or add you to waiting list/signpost to other services.",Mental Health,,,Unknown,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee, DD1 1PW, Scotland",56.460881,-2.975658
Dundee City,Art Angel,Photography Group,Scheduled Activity,Mental Health,Group,Adults,Tuesday,13:00:00,15:00:00,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee",DD1 1PW,Unknown,01382 228 383,contact@artangeldundee.org.uk,https://artangeldundee.org.uk/,Yes,Unknown,,Age 16+ with mental health issues,"A wide range of innovative arts activites for people with mental health issues, 16 and over, as a means of recovery and wellbeing","Need to contact Art Angel ahead of time, as they don't allow drop-ins.  They'll let you know if there are spaces available, or add you to waiting list/signpost to other services.",Mental Health,13:00,15:00,13:00-15:00,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee, DD1 1PW, Scotland",56.460881,-2.975658
Dundee City,Art Angel,Photography Group,Scheduled Activity,Mental Health,Group,Adults,Wednesday,13:00:00,15:00:00,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee",DD1 1PW,Unknown,01382 228 383,contact@artangeldundee.org.uk,https://artangeldundee.org.uk/,Yes,Unknown,,Age 16+ with mental health issues,"A wide range of innovative arts activites for people with mental health issues, 16 and over, as a means of recovery and wellbeing","Need to contact Art Angel ahead of time, as they don't allow drop-ins.  They'll let you know if there are spaces available, or add you to waiting list/signpost to other services.",Mental Health,13:00,15:00,13:00-15:00,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee, DD1 1PW, Scotland",56.460881,-2.975658
Dundee City,Art Angel,Playwriting Workshop,Scheduled Activity,Mental Health,Group,Adults,Monday,Afternoon,Afternoon,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee",DD1 1PW,Unknown,01382 228 383,contact@artangeldundee.org.uk,https://artangeldundee.org.uk/,Yes,Unknown,,Age 16+ with mental health issues,"A wide range of innovative arts activites for people with mental health issues, 16 and over, as a means of recovery and wellbeing","Need to contact Art Angel ahead of time, as they don't allow drop-ins.  They'll let you know if there are spaces available, or add you to waiting list/signpost to other services.",Mental Health,,,Afternoon,"Enterprise House, 1st Floor, 45 North Lindsay Street, Dundee, DD1 1PW, Scotland",56.460881,-2.975658
